"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.131106583E0,-5.914888382E0,2.297289276E1,-3.934629822E1,4.594421498E1
3.141143583E0,-5.808080673E0,2.311474609E1,-3.942478943E1,4.606885401E1
3.151179583E0,-5.768762589E0,2.301466370E1,-3.934585571E1,4.594616120E1
3.161216583E0,-5.763982773E0,2.316352844E1,-3.935090637E1,4.602462797E1
3.171252583E0,-5.789571762E0,2.300106049E1,-3.945774841E1,4.603783047E1
3.181288583E0,-5.816011429E0,2.297878265E1,-3.924653625E1,4.584911176E1
3.191325583E0,-5.931146622E0,2.292984772E1,-3.919097900E1,4.579180333E1
3.201361583E0,-6.014696121E0,2.305999756E1,-3.913081360E1,4.581659775E1
3.211397583E0,-5.985338211E0,2.324440765E1,-3.923458862E1,4.599434427E1
3.221433375E0,-5.646883011E0,2.317194366E1,-3.893197632E1,4.565659910E1
3.231469375E0,-5.659757614E0,2.334174347E1,-3.876757812E1,4.560476903E1
3.241506375E0,-5.791566849E0,2.311670685E1,-3.903044128E1,4.573073068E1
